Name,Team,Nat,Age,Pos,Height,Weight,Apps(Subs),Mins,Goals,Assists,Yel,Red,SpG,PS%,AerWon,MoM,Tackles,Inter,Fouls,OffW,Clear,DrbPast,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsT,AvgP,Crosses,LongB,ThrB,Rat,Season
Kevin De Bruyne,MCFC,be,29,"M(CLR),FW",181,68,32(3),2800,13,20,3,-,2.8,81.5,0.5,10,1.3,0.5,0.7,-,0.7,1.4,0.1,-,3.9,1.4,0.8,0.1,0.9,1.3,54.5,2.1,3.5,0.4,7.97,2019_2020
Riyad Mahrez,MCFC,dz,29,AM(CLR),179,67,21(12),1942,11,9,-,-,2.2,90.1,0.3,3,0.8,0.5,0.4,-,0.2,0.8,-,-,1.8,1.6,0.9,0.4,1,1.4,33.2,0.6,1.7,0.2,7.48,2019_2020
Raheem Sterling,MCFC,eng,25,"M(CLR),FW",170,69,30(3),2661,20,1,5,-,3,82.8,0.7,1,0.8,0.5,0.9,-,0.1,0.7,0.1,-,1.5,1.7,1.2,0.4,1.8,2,35.4,0.2,0.3,0.1,7.35,2019_2020
David Silva,MCFC,es,34,M(CLR),173,67,22(5),1833,6,10,-,-,1.7,89.3,0.3,3,1,0.5,0.7,-,0.2,0.7,0.1,-,1.8,1.2,0.7,0.1,0.7,1.3,54.9,0.1,1.1,0.1,7.29,2019_2020
Gabriel Jesus,MCFC,br,23,"AM(LR),FW",175,73,21(13),2026,14,7,3,-,3,86.5,1.2,2,0.5,0.3,0.8,-,0.2,0.5,-,-,0.9,1.3,0.9,0.6,1,1.4,17.9,0.1,0.6,-,7.26,2019_2020
João Cancelo,MCFC,pt,26,"D(LR),M(R)",182,74,13(4),1206,-,-,4,-,0.9,90.4,1.1,-,2.4,1.2,1,0.1,0.9,0.9,0.1,-,1,2.2,0.5,-,0.5,0.9,59.4,0.4,2.2,-,7.21,2019_2020
Sergio Agüero,MCFC,ar,32,"AM(CL),FW",173,70,18(6),1460,16,3,1,-,3.2,80.5,0.1,2,0.3,0.1,0.4,-,0.1,0.3,-,-,0.8,1,0.4,0.3,1.3,1.4,14.8,-,-,-,7.16,2019_2020
Rodrigo,MCFC,es,24,DMC,191,82,29(6),2488,3,2,8,-,0.7,92.9,1.6,1,1.4,0.7,1.2,0.1,0.9,1.1,0.1,-,1,0.9,0.9,-,0.8,0.6,73.7,0.1,4.9,0.1,7.09,2019_2020
Bernardo Silva,MCFC,pt,26,M(CLR),173,64,23(11),2031,6,7,5,-,1.5,90.2,0.4,1,1.1,0.7,0.7,-,0.4,0.9,-,-,1.5,1.2,0.6,0.1,0.6,0.7,40.4,0.5,1.1,-,7.03,2019_2020
Aymeric Laporte,MCFC,fr,26,D(CL),191,86,14(1),1104,1,-,1,-,0.3,92.5,1.7,-,0.9,1.3,0.6,0.7,1.7,0.3,0.3,-,0.2,0.1,0.6,-,0.1,0.1,76.5,-,3.9,-,7.00,2019_2020
Kyle Walker,MCFC,eng,30,"D(CR),M(R)",178,70,28(1),2398,1,4,5,-,0.5,88.6,1,-,1,1,0.9,0.2,1.2,0.6,0.2,-,0.6,0.8,0.5,0.1,0.5,0.8,66.9,0.3,4.3,-,6.90,2019_2020
Phil Foden,MCFC,eng,20,AM(CLR),171,70,9(14),893,5,2,-,-,1.5,88.5,0.4,2,0.6,0.3,0.5,-,0.1,0.6,-,-,0.8,1.1,0.6,-,0.7,0.8,21.5,0.3,0.7,-,6.86,2019_2020
Fernandinho,MCFC,br,35,"D(CR),DMC",179,67,26(4),2399,-,1,7,2,0.6,89.8,2.5,-,1.7,0.8,0.9,0.6,2.7,0.6,0.5,1,0.3,0.4,0.6,-,0.2,0.5,74.1,-,4.4,-,6.86,2019_2020
Benjamin Mendy,MCFC,fr,26,"D(L),DMC,M(L)",185,85,18(1),1497,-,2,3,-,0.5,88.4,0.8,-,0.9,0.8,0.6,0.3,0.9,0.9,0.1,-,1.1,1,0.1,0.1,0.9,0.7,58.1,1.2,1.7,-,6.83,2019_2020
Nicolás Otamendi,MCFC,ar,32,D(C),183,81,18(6),1711,2,-,3,-,0.6,92.4,2.5,-,1.2,0.9,0.9,0.5,3,0.7,0.4,-,0.2,0.1,0.1,-,0.1,0.5,63.9,-,2.5,-,6.80,2019_2020
Angeliño,MCFC,es,23,"D(L),M(L)",170,69,4(2),422,-,-,1,-,0.8,84.3,1,-,0.8,1.5,0.3,0.2,2.5,0.3,-,-,1.5,0.7,0.3,-,0.5,1,56.3,1.5,1.2,-,6.78,2019_2020
Ilkay Gündogan,MCFC,de,30,M(C),180,80,21(10),2017,2,1,7,-,1.1,91.9,0.4,-,0.9,1,0.5,-,0.4,1,0.2,-,1.1,0.6,0.5,0.1,0.4,0.5,63,0.3,3.4,-,6.70,2019_2020
Oleksandr Zinchenko,MCFC,ua,23,"D(L),M(CR)",175,64,13(6),1273,-,-,-,1,0.8,90.7,1.4,-,1.6,0.9,0.7,0.3,1,0.8,-,-,1.1,0.2,0.1,0.1,0.4,0.7,63.7,0.7,1.7,-,6.70,2019_2020
Eric García,MCFC,es,19,D(C),182,0,8(5),791,-,-,1,-,0.2,93.1,0.8,-,0.5,1.4,0.7,0.8,2.4,0.3,-,-,0.2,0.5,0.2,-,-,0.1,56,0.1,2,-,6.69,2019_2020
John Stones,MCFC,eng,26,D(CR),188,70,12(4),1119,-,-,-,-,0.4,94.2,2.8,-,1,0.6,0.3,0.6,1.9,0.1,0.2,-,0.1,0.3,0.1,0.1,-,0.2,64.7,-,3.3,-,6.68,2019_2020
Ederson,MCFC,br,27,GK,188,86,35,3072,-,-,3,1,-,86,0.4,-,0.1,0.1,0.1,-,0.7,0.1,-,-,-,-,0.1,-,-,-,25.7,-,3.5,-,6.62,2019_2020
Claudio Bravo,MCFC,cl,37,GK,184,80,3(1),346,-,-,-,-,-,76.5,0.3,-,-,-,-,-,0.8,-,-,-,-,0.3,-,-,-,-,29.8,-,5.5,-,6.39,2019_2020
Tommy Doyle,MCFC,,19,Midfielder,0,0,0(1),16,-,-,-,-,1,100,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,20,-,-,-,6.35,2019_2020
Leroy Sané,MCFC,de,24,"M(CLR),FW",184,75,0(1),11,-,-,-,-,2,85.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,6.23,2019_2020
Raheem Sterling,MCFC,eng,25,"M(CLR),FW",170,69,31(3),2777,17,10,3,-,2.3,85.8,0.4,8,0.9,0.5,1.2,-,0.1,0.5,0.1,-,1.9,2.4,1.3,0.4,2.6,2.2,37.1,0.4,0.3,-,7.61,2018_2019
Sergio Agüero,MCFC,ar,32,"AM(CL),FW",173,70,31(2),2480,21,8,3,-,3.6,85,0.5,5,0.5,0.3,0.6,-,0.1,0.1,-,-,1,1.4,0.8,0.8,1.6,2.2,23.4,-,0.1,0.1,7.53,2018_2019
Fernandinho,MCFC,br,35,"D(CR),DMC",179,67,27(2),2382,1,3,5,-,1,87.5,2.6,2,2,1.4,1.4,0.1,2.4,0.7,0.1,-,0.8,0.7,0.9,0.1,0.4,0.9,70.7,-,2.7,0.2,7.31,2018_2019
Benjamin Mendy,MCFC,fr,26,"D(L),DMC,M(L)",185,85,10,900,-,5,1,-,0.7,88.3,0.8,-,1.6,1,1.2,0.4,1.6,0.8,0.4,-,1.2,0.9,0.2,-,1.1,0.9,65,1.1,1.8,-,7.29,2018_2019
David Silva,MCFC,es,34,M(CLR),173,67,28(5),2412,6,8,3,-,1.5,87.8,0.6,1,0.9,0.7,0.8,-,0.4,0.6,-,-,2.2,0.9,0.8,0.2,0.9,0.8,61.1,0.5,1.2,0.2,7.26,2018_2019
Bernardo Silva,MCFC,pt,26,M(CLR),173,64,31(5),2853,7,7,3,-,1.7,86.1,0.3,4,1.4,0.7,0.9,-,0.7,1.4,0.1,-,2,1.4,0.7,0.1,1,1.2,47.4,0.3,2,0.1,7.26,2018_2019
Leroy Sané,MCFC,de,24,"M(CLR),FW",184,75,21(10),1867,10,10,1,-,1.8,84.4,0.3,1,0.8,0.3,0.3,-,0.1,0.7,0.1,-,1.3,1.8,0.5,0.6,1.4,2.3,27.3,0.5,0.1,0.1,7.26,2018_2019
Oleksandr Zinchenko,MCFC,ua,23,"D(L),M(CR)",175,64,14,1153,-,3,1,-,0.5,91.5,1.7,-,2.4,1.4,1.1,-,1.1,1.4,0.2,-,0.9,0.4,0.4,0.1,0.4,0.5,84.6,0.5,2.6,-,7.19,2018_2019
Ilkay Gündogan,MCFC,de,30,M(C),180,80,23(8),2136,6,3,3,-,1.4,90.8,0.8,2,0.6,0.9,0.4,-,0.6,0.8,0.1,-,1.4,0.6,0.7,-,0.5,0.9,64.4,0.9,2.4,0.1,7.10,2018_2019
Aymeric Laporte,MCFC,fr,26,D(CL),191,86,34(1),3057,3,3,3,-,0.7,92.3,2.2,1,1.2,1.1,0.6,0.4,2.7,0.3,0.3,-,0.4,0.1,0.5,0.1,0.1,0.3,85.6,-,4.9,-,7.05,2018_2019
Kevin De Bruyne,MCFC,be,29,"M(CLR),FW",181,68,11(8),978,2,2,2,-,1.6,83.7,0.3,2,1.2,0.2,0.5,0.1,0.1,0.7,0.1,-,1.9,1,0.8,0.1,0.7,1.2,38.2,1.1,2.4,0.2,7.05,2018_2019
Danilo,MCFC,br,29,D(CLR),184,78,9(2),806,1,-,1,-,1.3,87,1.6,1,1.8,1.4,0.9,0.3,1.8,0.5,-,-,0.4,0.7,0.7,-,0.5,0.7,69.7,0.2,1.7,-,7.01,2018_2019
Nicolás Otamendi,MCFC,ar,32,D(C),183,81,14(4),1234,-,-,1,-,0.8,92.7,2.2,-,1.4,1.6,0.4,0.6,3.1,0.2,0.2,-,0.1,0.1,0.2,-,-,0.1,69,-,2.6,-,6.98,2018_2019
Kyle Walker,MCFC,eng,30,"D(CR),M(R)",178,70,30(3),2777,1,1,3,-,0.6,90.1,1.4,-,1.2,1.1,0.5,0.2,1.5,0.4,0.2,-,0.7,0.5,0.4,0.1,0.4,0.8,72.4,0.1,3.5,-,6.96,2018_2019
Riyad Mahrez,MCFC,dz,29,AM(CLR),179,67,14(13),1338,7,4,-,-,2,84.7,0.7,3,0.5,0.3,0.4,-,0.1,0.4,-,-,0.9,0.9,0.6,0.3,1,1,29.5,0.6,1.4,0.2,6.96,2018_2019
Vincent Kompany,MCFC,be,34,D(C),193,85,13(4),1223,1,-,6,-,0.3,93,2.2,-,0.9,0.9,1,0.6,3.2,0.1,0.5,-,0.1,0.2,-,0.1,-,0.3,72.2,-,3.7,-,6.93,2018_2019
John Stones,MCFC,eng,26,D(CR),188,70,20(4),1763,-,-,1,-,0.2,94.2,2.5,-,0.7,0.6,0.3,0.3,2.5,0.2,0.4,-,0.2,0.3,0.3,-,0.1,-,73,-,4.3,-,6.87,2018_2019
Fabian Delph,MCFC,eng,30,"D(L),M(CL)",174,60,8(3),725,-,1,1,1,0.4,91.3,0.8,-,2.1,1.2,0.5,0.3,1.5,1,-,-,0.3,0.7,0.6,-,0.1,0.9,62.9,0.3,2.4,-,6.82,2018_2019
Ederson,MCFC,br,27,GK,188,86,38,3420,-,1,2,-,-,82.6,0.3,-,0.1,-,0.1,-,0.5,-,-,-,0.1,-,0.1,-,-,-,24.2,-,3.3,-,6.66,2018_2019
Gabriel Jesus,MCFC,br,23,"AM(LR),FW",175,73,8(21),1022,7,3,1,-,1.5,82.6,0.5,1,0.3,0.1,0.4,-,0.1,0.2,0.1,-,0.7,0.8,0.6,0.5,1,1.1,12.3,-,0.1,-,6.64,2018_2019
Phil Foden,MCFC,eng,20,AM(CLR),171,70,3(10),330,1,-,-,-,1.1,86.6,0.2,-,0.5,0.3,0.3,-,0.1,0.5,-,-,0.6,0.6,0.4,-,0.4,0.3,17.8,0.1,0.2,-,6.52,2018_2019
Sergio Agüero,MCFC,ar,32,"AM(CL),FW",173,70,22(3),1969,21,6,2,-,3.8,82.8,0.4,4,0.4,0.2,0.4,-,0.1,0.6,-,-,1.6,2.2,0.7,0.6,1.7,2.2,25.1,0.2,0.2,0.1,7.81,2017_2018
Kevin De Bruyne,MCFC,be,29,"M(CLR),FW",181,68,36(1),3085,8,16,2,-,2.5,83.4,0.4,8,1.7,0.7,0.8,-,0.3,1.5,0.1,-,2.9,1.7,0.9,0.1,1.6,1.7,72.8,1.6,3.5,0.4,7.80,2017_2018
David Silva,MCFC,es,34,M(CLR),173,67,28(1),2437,9,11,5,-,1.9,88.9,0.6,4,1.1,0.6,0.7,-,0.2,1.2,0.2,-,2.1,1.3,1.2,0.1,1,1.1,83.8,0.6,1.5,0.2,7.58,2017_2018
Raheem Sterling,MCFC,eng,25,"M(CLR),FW",170,69,29(4),2593,18,11,3,1,2.6,84,0.2,4,0.6,0.3,1.2,-,0.2,0.9,-,-,1.7,1.9,1.8,0.6,1.8,2,35.5,0.2,0.2,0.2,7.55,2017_2018
Leroy Sané,MCFC,de,24,"M(CLR),FW",184,75,27(5),2423,10,15,4,-,1.8,84.2,0.5,3,0.8,0.4,0.8,-,0.2,0.4,-,-,1.8,2.7,0.8,0.2,2,2.5,34.1,0.7,0.4,0.1,7.54,2017_2018
Fernandinho,MCFC,br,35,"D(CR),DMC",179,67,33(1),2885,5,3,7,-,1.4,90.1,2.8,1,1.8,1.4,1.2,0.1,1.9,1.2,0.2,-,0.6,0.6,0.8,-,0.6,1,87.5,-,3.1,0.3,7.44,2017_2018
Fabian Delph,MCFC,eng,30,"D(L),M(CL)",174,60,21(1),1746,1,2,2,-,0.5,93,1,1,2.1,1.4,0.7,0.3,1.6,0.9,-,-,0.5,1.4,0.8,-,0.5,0.9,73.4,0.1,2.4,-,7.16,2017_2018
Nicolás Otamendi,MCFC,ar,32,D(C),183,81,33(1),2968,4,-,9,-,0.9,91.9,2.3,5,1.7,1.4,0.8,0.9,3.6,0.7,0.3,1,0.4,0.1,0.6,-,-,0.6,90.4,-,4.3,-,7.13,2017_2018
Oleksandr Zinchenko,MCFC,ua,23,"D(L),M(CR)",175,64,6(2),533,-,-,1,-,0.6,92.4,2,-,2.9,0.8,0.9,0.1,0.9,0.8,-,-,1,0.4,0.1,0.3,0.3,0.3,84,-,2.1,-,7.11,2017_2018
Aymeric Laporte,MCFC,fr,26,D(CL),191,86,9,807,-,-,1,-,0.3,92.5,2.7,-,0.9,1.2,1.1,0.9,2.9,0.6,0.1,-,0.2,0.3,0.4,-,-,0.2,90.1,0.1,4.7,-,7.09,2017_2018
Kyle Walker,MCFC,eng,30,"D(CR),M(R)",178,70,32,2787,-,6,2,1,0.4,87.8,2.2,-,1.5,0.9,0.5,0.5,2.1,0.4,0.1,1,0.9,0.8,0.6,0.1,0.6,1,73.8,0.2,2.7,-,7.05,2017_2018
Gabriel Jesus,MCFC,br,23,"AM(LR),FW",175,73,19(10),1673,13,3,6,-,1.9,79.7,0.7,1,0.8,0.3,1,-,0.2,0.7,-,-,0.7,0.8,0.6,0.5,0.9,1.5,20.4,-,0.4,0.1,7.05,2017_2018
Vincent Kompany,MCFC,be,34,D(C),193,85,17,1397,1,1,6,-,0.5,92.6,2.5,-,1.2,0.9,1.1,0.5,4.2,0.4,0.5,-,0.2,0.2,0.1,-,0.1,0.4,84.1,-,4.9,0.1,7.04,2017_2018
Danilo,MCFC,br,29,D(CLR),184,78,13(10),1342,3,2,2,-,0.8,89.9,0.7,2,1.9,0.8,0.5,0.2,1.2,0.7,0.3,-,0.2,0.3,0.4,-,0.2,0.6,48.3,0.1,1.4,-,6.91,2017_2018
John Stones,MCFC,eng,26,D(CR),188,70,16(2),1306,-,-,-,-,0.6,95.8,1.8,-,0.8,1.1,0.3,0.8,2.3,0.4,0.3,-,-,0.2,0.1,-,0.3,0.3,69.2,-,3.4,-,6.89,2017_2018
Benjamin Mendy,MCFC,fr,26,"D(L),DMC,M(L)",185,85,4(3),362,-,1,2,-,0.7,85.6,0.7,-,0.7,1.1,0.9,-,1.1,0.3,-,-,1.3,0.4,0.1,-,0.9,0.4,26.9,1.1,0.3,-,6.87,2017_2018
Claudio Bravo,MCFC,cl,37,GK,184,80,2(1),225,-,-,-,-,-,90.9,0.3,-,-,-,-,-,-,0.3,-,-,-,-,0.3,-,-,-,18.3,-,3.3,-,6.83,2017_2018
Bernardo Silva,MCFC,pt,26,M(CLR),173,64,15(20),1520,6,4,-,-,0.7,87,0.1,1,0.8,0.3,0.3,-,0.3,0.7,-,-,0.9,0.8,0.8,-,0.7,0.8,26.7,0.3,0.6,-,6.79,2017_2018
Ilkay Gündogan,MCFC,de,30,M(C),180,80,15(15),1510,4,1,3,-,1.2,91.7,0.1,-,0.9,0.5,0.5,-,0.3,0.9,-,-,0.7,0.9,0.6,-,0.7,1.1,46.7,0.1,1.1,0.1,6.73,2017_2018
Ederson,MCFC,br,27,GK,188,86,37,3197,-,-,1,-,-,85.3,0.3,1,-,-,-,-,0.8,-,-,-,-,-,0.2,-,-,0.1,25.1,-,4,-,6.68,2017_2018
Eliaquim Mangala,MCFC,fr,29,D(C),188,84,4(5),483,-,-,-,-,0.1,91.6,1.3,-,0.6,0.2,0.2,0.4,2.7,0.2,0.3,-,0.1,0.2,-,-,0.6,0.1,38.2,-,1.1,-,6.57,2017_2018
Yaya Touré,MCFC,ci,37,M(C),188,90,1(9),228,-,2,1,-,0.5,93.8,0.5,-,0.2,0.5,0.5,-,0.4,-,0.1,-,0.7,0.4,-,-,0.1,0.1,41.6,-,1.3,0.2,6.50,2017_2018
Phil Foden,MCFC,eng,20,AM(CLR),171,70,0(5),45,-,1,-,-,-,90.9,-,-,0.2,-,0.2,-,0.2,0.2,-,-,0.4,0.6,0.6,-,-,0.4,8.8,0.2,-,-,6.30,2017_2018
Brahim Díaz,MCFC,es,21,AM(L),171,59,0(5),50,-,-,-,-,0.6,89.3,-,-,0.2,0.2,0.2,-,-,-,-,-,-,0.2,0.8,-,0.4,0.8,5.6,-,0.2,-,6.08,2017_2018
Lukas Nmecha,MCFC,de,21,"AM(R),FW",185,80,0(2),14,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2.5,-,-,-,5.98,2017_2018
Kevin De Bruyne,MCFC,be,29,"M(CLR),FW",181,68,33(3),2885,6,18,4,-,2.4,82,0.4,9,1.4,0.6,1,-,0.2,1.8,-,-,2.9,1.4,1.1,0.1,1.3,1.6,50.1,2.3,2.3,0.4,7.55,2016_2017
Nicolás Otamendi,MCFC,ar,32,D(C),183,81,29(1),2592,1,1,9,-,0.5,88.2,3.9,2,2.3,2.7,1,0.9,6.3,0.6,0.5,-,0.2,0.4,0.9,-,0.2,0.4,64.9,-,2.7,-,7.49,2016_2017
Gabriel Jesus,MCFC,br,23,"AM(LR),FW",175,73,8(2),651,7,4,2,-,2.4,81.3,0.8,1,0.5,0.2,1.1,-,0.1,0.2,-,-,1,1.2,1.7,0.9,1.4,1.3,24.1,0.1,0.6,-,7.48,2016_2017
Sergio Agüero,MCFC,ar,32,"AM(CL),FW",173,70,25(6),2407,20,3,4,1,4.5,82.4,0.2,6,0.6,0.1,0.7,-,-,0.6,-,-,1,2.5,1.1,0.7,2.2,2.5,24.9,0.1,0.5,0.1,7.33,2016_2017
Aleksandar Kolarov,MCFC,rs,34,"D(CL),M(L)",187,81,27(2),2533,1,1,6,-,1.1,84.5,2.9,2,1.6,1.6,1.2,0.6,5.4,0.6,0.3,1,0.5,0.8,1.3,-,0.2,0.6,64.1,0.4,4.2,-,7.30,2016_2017
David Silva,MCFC,es,34,M(CLR),173,67,31(3),2768,4,7,6,-,1.4,87.2,0.5,1,1.3,0.5,0.9,-,0.6,1.2,0.1,-,2.4,1.4,1.6,0.1,1.6,1.1,61,1.1,1.5,0.3,7.28,2016_2017
Vincent Kompany,MCFC,be,34,D(C),193,85,10(1),823,3,-,5,-,0.8,88,1.7,-,1.3,1.5,1.7,0.3,3.8,0.3,0.4,-,0.2,0.2,0.5,-,0.2,0.2,50.7,0.1,3.2,-,7.18,2016_2017
Yaya Touré,MCFC,ci,37,M(C),188,90,22(3),1947,5,-,4,-,1.3,89.8,1.6,2,1.7,0.6,1,-,1.6,1.1,0.2,-,0.8,1.1,0.4,-,1,0.8,71.9,-,3.9,0.1,7.17,2016_2017
Fernandinho,MCFC,br,35,"D(CR),DMC",179,67,31(1),2755,2,1,4,2,1.1,86.6,1.6,1,2.5,2,1.5,0.2,1.9,1.8,0.2,-,1,0.9,1.1,-,1,0.8,68.1,0.2,3.3,0.1,7.16,2016_2017
Ilkay Gündogan,MCFC,de,30,M(C),180,80,9(1),710,3,1,-,-,1.6,91.9,0.2,-,1,0.9,0.2,-,0.4,1.1,-,-,1.2,1.1,1,-,0.8,1.4,50.5,0.1,1,0.2,7.07,2016_2017
Leroy Sané,MCFC,de,24,"M(CLR),FW",184,75,20(6),1788,5,3,4,-,1.3,81.3,0.7,1,1.3,0.6,0.5,-,0.2,0.7,-,-,1.3,2,0.7,0.5,1.7,2,26.6,0.3,0.3,-,7.06,2016_2017
