Name,Position,Team,Salary,Season
Fernando Torres,Forward,CFC,"£16,938,935",2015_2016
Wayne Rooney,Forward,MUFC,"£15,600,000",2015_2016
Eden Hazard,Midfielder,CFC,"£11,700,000",2015_2016
Sergio Aguero,Forward,MCFC,"£11,440,000",2015_2016
Yaya Toure,Midfielder,MCFC,"£11,440,000",2015_2016
David De Gea,Goalkeeper,MUFC,"£10,400,000",2015_2016
Diego Costa,Forward,CFC,"£9,620,000",2015_2016
David Silva,Midfielder,MCFC,"£8,320,000",2015_2016
Juan Mata,Midfielder,MUFC,"£8,320,000",2015_2016
Lukas Podolski,Forward,AFC,"£8,204,000",2015_2016
Cesc Fàbregas,Midfielder,CFC,"£8,112,000",2015_2016
André Schurrle,Forward,CFC,"£7,936,396",2015_2016
Oscar,Midfielder,CFC,"£7,917,266",2015_2016
John Terry,Defender,CFC,"£7,800,000",2015_2016
Kevin De Bruyne,Midfielder,MCFC,"£7,800,000",2015_2016
Vincent Kompany,Defender,MCFC,"£7,800,000",2015_2016
Samir Nasri,Forward,MCFC,"£7,800,000",2015_2016
Raheem Sterling,Forward,MCFC,"£7,800,000",2015_2016
Mesut Ozil,Midfielder,AFC,"£7,280,000",2015_2016
Alexis Sanchez,Forward,AFC,"£7,280,000",2015_2016
Theo Walcott,Forward,AFC,"£7,280,000",2015_2016
Christian Benteke,Forward,LFC,"£7,280,000",2015_2016
James Milner,Midfielder,LFC,"£7,280,000",2015_2016
Daniel Sturridge,Forward,LFC,"£6,760,000",2015_2016
Danny Welbeck,Forward,AFC,"£6,500,000",2015_2016
Thibaut Courtois,Goalkeeper,CFC,"£6,240,000",2015_2016
Nicolas Otamendi,Defender,MCFC,"£6,240,000",2015_2016
Ashley Young,Midfielder,MUFC,"£6,240,000",2015_2016
Ander Herrera,Midfielder,MUFC,"£5,980,000",2015_2016
Aaron Ramsey,Midfielder,AFC,"£5,720,000",2015_2016
Anthony Martial,Forward,MUFC,"£5,720,000",2015_2016
Marcos Rojo,Defender,MUFC,"£5,720,000",2015_2016
Luke Shaw,Defender,MUFC,"£5,720,000",2015_2016
Joe Hart,Goalkeeper,MCFC,"£5,529,333",2015_2016
Demba Ba,Forward,CFC,"£5,517,535",2015_2016
Santi Cazorla,Midfielder,AFC,"£5,200,000",2015_2016
Petr Cech,Goalkeeper,AFC,"£5,200,000",2015_2016
Gary Cahill,Defender,CFC,"£5,200,000",2015_2016
Pedro Rodríguez Ledesma,Midfielder,CFC,"£5,200,000",2015_2016
Leandro Rodriguez,Forward,EFC,"£5,200,000",2015_2016
Jamie Vardy,Forward,LC,"£5,200,000",2015_2016
Roberto Firmino,Forward,LFC,"£5,200,000",2015_2016
Jordan Henderson,Midfielder,LFC,"£5,200,000",2015_2016
Wilfried Bony,Forward,MCFC,"£5,200,000",2015_2016
Fernandinho Luis Roza,Midfielder,MCFC,"£5,200,000",2015_2016
Eliaquim Mangala,Defender,MCFC,"£5,200,000",2015_2016
Fernando Reges,Midfielder,MCFC,"£5,200,000",2015_2016
Jack Wilshere,Midfielder,AFC,"£4,680,000",2015_2016
Loic Remy,Forward,CFC,"£4,680,000",2015_2016
Andy Carroll,Forward,WHUFC,"£4,680,000",2015_2016
Baba Rahman,Defender,CFC,"£4,472,000",2015_2016
Yohan Cabaye,Midfielder,CP,"£4,472,000",2015_2016
Willian da Silva,Midfielder,CFC,"£4,420,000",2015_2016
Mamadou Sakho,Defender,LFC,"£4,420,000",2015_2016
Antonio Valencia,Defender,MUFC,"£4,420,000",2015_2016
Heung-Min Son,Forward,THFC,"£4,420,000",2015_2016
Nemanja Matic,Midfielder,CFC,"£4,290,000",2015_2016
Olivier Giroud,Forward,AFC,"£4,160,000",2015_2016
Romelu Lukaku,Forward,EFC,"£4,160,000",2015_2016
Fabian Delph,Midfielder,MCFC,"£4,160,000",2015_2016
Marouane Fellaini,Midfielder,MUFC,"£4,160,000",2015_2016
Toby Alderweireld,Defender,THFC,"£4,160,000",2015_2016
Erik Lamela,Midfielder,THFC,"£4,160,000",2015_2016
Romelu Lukaku,Forward,CFC,"£4,084,305",2015_2016
Charles  N'Zogbia,Midfielder,AVFC,"£3,980,000",2015_2016
John Mikel Obi,Midfielder,CFC,"£3,908,073",2015_2016
