Name,Team,Nat,Age,Pos,Height,Weight,Apps(Subs),Mins,Goals,Assists,Yel,Red,SpG,PS%,AerWon,MoM,Tackles,Inter,Fouls,OffW,Clear,DrbPast,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsT,AvgP,Crosses,LongB,ThrB,Rat
Raheem Sterling,MCFC,eng,25,"M(CLR),FW",170,69,31(3),2777,17,10,3,-,2.3,85.8,0.4,8,0.9,0.5,1.2,-,0.1,0.5,0.1,-,1.9,2.4,1.3,0.4,2.6,2.2,37.1,0.4,0.3,-,7.61
Sergio Agüero,MCFC,ar,32,"AM(CL),FW",173,70,31(2),2480,21,8,3,-,3.6,85,0.5,5,0.5,0.3,0.6,-,0.1,0.1,-,-,1,1.4,0.8,0.8,1.6,2.2,23.4,-,0.1,0.1,7.53
Fernandinho,MCFC,br,35,"D(CR),DMC",179,67,27(2),2382,1,3,5,-,1,87.5,2.6,2,2,1.4,1.4,0.1,2.4,0.7,0.1,-,0.8,0.7,0.9,0.1,0.4,0.9,70.7,-,2.7,0.2,7.31
Benjamin Mendy,MCFC,fr,26,"D(L),DMC,M(L)",185,85,10,900,-,5,1,-,0.7,88.3,0.8,-,1.6,1,1.2,0.4,1.6,0.8,0.4,-,1.2,0.9,0.2,-,1.1,0.9,65,1.1,1.8,-,7.29
David Silva,MCFC,es,34,M(CLR),173,67,28(5),2412,6,8,3,-,1.5,87.8,0.6,1,0.9,0.7,0.8,-,0.4,0.6,-,-,2.2,0.9,0.8,0.2,0.9,0.8,61.1,0.5,1.2,0.2,7.26
Bernardo Silva,MCFC,pt,26,M(CLR),173,64,31(5),2853,7,7,3,-,1.7,86.1,0.3,4,1.4,0.7,0.9,-,0.7,1.4,0.1,-,2,1.4,0.7,0.1,1,1.2,47.4,0.3,2,0.1,7.26
Leroy Sané,MCFC,de,24,"M(CLR),FW",184,75,21(10),1867,10,10,1,-,1.8,84.4,0.3,1,0.8,0.3,0.3,-,0.1,0.7,0.1,-,1.3,1.8,0.5,0.6,1.4,2.3,27.3,0.5,0.1,0.1,7.26
Oleksandr Zinchenko,MCFC,ua,23,"D(L),M(CR)",175,64,14,1153,-,3,1,-,0.5,91.5,1.7,-,2.4,1.4,1.1,-,1.1,1.4,0.2,-,0.9,0.4,0.4,0.1,0.4,0.5,84.6,0.5,2.6,-,7.19
Ilkay Gündogan,MCFC,de,29,M(C),180,80,23(8),2136,6,3,3,-,1.4,90.8,0.8,2,0.6,0.9,0.4,-,0.6,0.8,0.1,-,1.4,0.6,0.7,-,0.5,0.9,64.4,0.9,2.4,0.1,7.10
Aymeric Laporte,MCFC,fr,26,D(CL),191,86,34(1),3057,3,3,3,-,0.7,92.3,2.2,1,1.2,1.1,0.6,0.4,2.7,0.3,0.3,-,0.4,0.1,0.5,0.1,0.1,0.3,85.6,-,4.9,-,7.05
Kevin De Bruyne,MCFC,be,29,"M(CLR),FW",181,68,11(8),978,2,2,2,-,1.6,83.7,0.3,2,1.2,0.2,0.5,0.1,0.1,0.7,0.1,-,1.9,1,0.8,0.1,0.7,1.2,38.2,1.1,2.4,0.2,7.05
Danilo,MCFC,br,29,D(LR),184,78,9(2),806,1,-,1,-,1.3,87,1.6,1,1.8,1.4,0.9,0.3,1.8,0.5,-,-,0.4,0.7,0.7,-,0.5,0.7,69.7,0.2,1.7,-,7.01
Nicolás Otamendi,MCFC,ar,32,D(C),183,81,14(4),1234,-,-,1,-,0.8,92.7,2.2,-,1.4,1.6,0.4,0.6,3.1,0.2,0.2,-,0.1,0.1,0.2,-,-,0.1,69,-,2.6,-,6.98
Kyle Walker,MCFC,eng,30,"D(CR),M(R)",178,70,30(3),2777,1,1,3,-,0.6,90.1,1.4,-,1.2,1.1,0.5,0.2,1.5,0.4,0.2,-,0.7,0.5,0.4,0.1,0.4,0.8,72.4,0.1,3.5,-,6.96
Riyad Mahrez,MCFC,dz,29,AM(CLR),179,67,14(13),1338,7,4,-,-,2,84.7,0.7,3,0.5,0.3,0.4,-,0.1,0.4,-,-,0.9,0.9,0.6,0.3,1,1,29.5,0.6,1.4,0.2,6.96
Vincent Kompany,MCFC,be,34,D(C),193,85,13(4),1223,1,-,6,-,0.3,93,2.2,-,0.9,0.9,1,0.6,3.2,0.1,0.5,-,0.1,0.2,-,0.1,-,0.3,72.2,-,3.7,-,6.93
John Stones,MCFC,eng,26,D(CR),188,70,20(4),1763,-,-,1,-,0.2,94.2,2.5,-,0.7,0.6,0.3,0.3,2.5,0.2,0.4,-,0.2,0.3,0.3,-,0.1,-,73,-,4.3,-,6.87
Fabian Delph,MCFC,eng,30,"D(L),M(CL)",174,60,8(3),725,-,1,1,1,0.4,91.3,0.8,-,2.1,1.2,0.5,0.3,1.5,1,-,-,0.3,0.7,0.6,-,0.1,0.9,62.9,0.3,2.4,-,6.82
Ederson,MCFC,br,27,GK,188,86,38,3420,-,1,2,-,-,82.6,0.3,-,0.1,-,0.1,-,0.5,-,-,-,0.1,-,0.1,-,-,-,24.2,-,3.3,-,6.66
Gabriel Jesus,MCFC,br,23,"AM(LR),FW",175,73,8(21),1022,7,3,1,-,1.5,82.6,0.5,1,0.3,0.1,0.4,-,0.1,0.2,0.1,-,0.7,0.8,0.6,0.5,1,1.1,12.3,-,0.1,-,6.64
Phil Foden,MCFC,eng,20,AM(CLR),171,70,3(10),330,1,-,-,-,1.1,86.6,0.2,-,0.5,0.3,0.3,-,0.1,0.5,-,-,0.6,0.6,0.4,-,0.4,0.3,17.8,0.1,0.2,-,6.52
Paul Pogba,MUFC,fr,27,M(C),191,84,34(1),3012,13,9,6,-,3,82.8,1.7,7,1.3,0.5,1.5,-,1,0.7,0.3,-,1.6,1.7,2,0.1,2.5,2.1,59.1,0.1,4.7,0.2,7.31
Ander Herrera,MUFC,es,31,M(C),182,71,16(6),1405,2,3,4,-,1,87.8,0.2,2,2.5,1.7,1,-,1,1.8,0.3,-,0.7,0.5,0.9,-,0.4,0.6,44.5,-,1.5,0.1,6.96
Marcus Rashford,MUFC,eng,22,"AM(LR),FW",180,70,26(7),2345,10,6,3,1,2.5,78.1,0.9,3,0.7,0.1,0.8,-,0.7,0.7,-,-,1.2,1.3,1.6,0.5,1.4,2.5,20.2,0.3,0.5,-,6.95
Luke Shaw,MUFC,eng,25,"D(CL),M(L)",185,75,29,2592,1,4,11,-,0.7,83.3,1.7,2,1.9,0.7,1.4,0.1,2.8,0.7,0.4,-,1.1,0.9,0.6,-,0.5,1,57.2,0.5,1.6,0.1,6.91
Anthony Martial,MUFC,fr,24,"AM(LR),FW",181,76,18(9),1624,10,2,2,-,1.4,79.3,0.7,2,0.3,0.1,0.5,-,0.3,0.4,-,-,1.3,1.2,1,0.2,1.2,1.7,26.2,0.1,0.1,0.1,6.90
Ashley Young,MUFC,eng,35,"D(LR),M(LR)",175,65,28(2),2569,2,2,8,1,0.4,77.5,0.8,-,1.7,1.8,1.2,0.3,1.9,0.6,0.3,-,1.3,0.6,1.1,0.1,0.6,0.8,45.9,1.4,3.7,-,6.87
Romelu Lukaku,MUFC,be,27,"AM(R),FW",190,94,22(10),2130,12,-,4,-,1.7,66.3,2.9,2,0.3,0.1,0.6,-,0.6,0.3,-,-,0.7,0.7,0.1,0.7,1.4,1.6,16.7,0.2,0.4,0.1,6.84
Phil Jones,MUFC,eng,28,"D(CR),DMC",180,71,15(3),1264,-,1,1,-,0.3,92.6,2.6,-,1.1,1.3,0.4,0.6,3.4,0.3,0.6,-,0.2,0.2,0.6,-,0.1,0.5,41.9,-,2.2,-,6.81
Chris Smalling,MUFC,eng,30,D(CR),194,81,24,2128,1,-,1,-,0.5,86.2,4.3,1,1.3,1.1,0.9,0.5,4.4,0.3,1,1,0.1,-,0.3,0.1,-,0.3,39.8,-,2.1,-,6.79
Nemanja Matic,MUFC,rs,32,DMC,194,85,28,2441,1,-,6,1,0.4,86.9,2,-,1.8,1.1,1,-,1.9,1,0.6,-,0.5,0.6,0.7,-,1.4,0.9,65.6,0.1,3.9,-,6.76
Juan Mata,MUFC,es,32,AM(CLR),170,63,16(6),1295,3,2,3,-,0.9,86,0.1,-,0.4,0.3,0.5,-,0.2,0.7,-,-,1.4,0.5,0.4,0.4,0.9,0.6,31.8,0.6,2.2,0.1,6.70
Luis Antonio Valencia,MUFC,ec,35,"D(R),M(R)",180,83,5(1),466,-,-,2,-,0.3,84.1,0.5,-,1.3,0.8,1.2,-,1,0.2,-,-,1.2,0.5,0.7,-,0.2,-,45.2,0.8,1.8,-,6.68
Victor Lindelöf,MUFC,se,26,D(CR),187,80,29(1),2602,1,1,1,-,0.3,89.2,2.3,-,1.3,0.8,0.6,0.7,3.9,0.3,0.4,1,0.2,0.3,0.5,-,0.1,0.4,49.7,-,2.1,-,6.68
Marouane Fellaini,MUFC,be,32,M(C),194,85,6(8),748,-,1,1,-,0.5,81.2,3.4,-,1.5,0.3,1.1,0.1,2.4,0.6,0.4,-,0.2,0.1,0.6,0.1,0.6,0.7,30.4,0.1,0.3,-,6.66
Diogo Dalot,MUFC,pt,21,"D(LR),M(R)",183,76,12(4),1015,-,2,3,-,0.9,70.9,1.4,-,1.5,0.6,0.8,0.4,1.9,0.3,0.1,-,1.1,0.7,0.1,0.1,0.3,0.6,26.4,0.9,0.6,-,6.63
