Name,Position,Team,Salary
Kevin De Bruyne,Midfielder,MCFC,"£16,683,333"
Alexis Sanchez,Forward,MUFC,"£16,380,000"
Paul Pogba,Midfielder,MUFC,"£15,080,000"
Mesut Ozil,Midfielder,AFC,"£13,975,000"
Eden Hazard,Midfielder,CFC,"£11,700,000"
Sergio Aguero,Forward,MCFC,"£11,440,000"
Mohamed Salah,Forward,LFC,"£10,400,000"
David De Gea,Goalkeeper,MUFC,"£10,400,000"
Harry Kane,Forward,THFC,"£10,400,000"
Alexandre Lacazette,Forward,AFC,"£9,466,673"
Roberto Firmino,Forward,LFC,"£9,360,000"
Romelu Lukaku,Forward,MUFC,"£9,360,000"
Virgil Van Dijk,Defender,LFC,"£8,580,000"
David Silva,Midfielder,MCFC,"£8,320,000"
Juan Mata,Midfielder,MUFC,"£8,320,000"
Pierre-Emerick Aubameyang,Forward,AFC,"£8,190,000"
Cesc Fàbregas,Midfielder,CFC,"£8,112,000"
Henrikh Mkhitaryan,Midfielder,AFC,"£7,800,000"
Kepa Arrizabalaga,Goalkeeper,CFC,"£7,800,000"
Raheem Sterling,Forward,MCFC,"£7,800,000"
Fernandinho Luis Roza,Midfielder,MCFC,"£7,800,000"
Vincent Kompany,Defender,MCFC,"£7,800,000"
Luke Shaw,Defender,MUFC,"£7,800,000"
Marouane Fellaini,Midfielder,MUFC,"£7,800,000"
Christian Pulisic,Forward,CFC,"£7,562,500"
César Azpilicueta,Defender,CFC,"£7,540,000"
N'Golo Kante,Midfielder,CFC,"£7,500,000"
Jamie Vardy,Forward,LC,"£7,280,000"
Jordan Henderson,Midfielder,LFC,"£7,280,000"
James Milner,Midfielder,LFC,"£7,280,000"
Ilkay Gundogan,Midfielder,MCFC,"£7,280,000"
Heung-Min Son,Forward,THFC,"£7,280,000"
Javier Chicharito Hernandez,Forward,WHUFC,"£7,280,000"
Wilfried Zaha,Forward,CP,"£6,760,000"
Kasper Schmeichel,Goalkeeper,LC,"£6,760,000"
Daniel Sturridge,Forward,LFC,"£6,760,000"
Danny Welbeck,Forward,AFC,"£6,500,000"
Max Meyer,Midfielder,CP,"£6,500,000"
Aaron Ramsey,Midfielder,AFC,"£6,240,000"
Willian da Silva,Midfielder,CFC,"£6,240,000"
David Luiz,Defender,CFC,"£6,240,000"
Christian Benteke,Forward,CP,"£6,240,000"
Bernard Anicio Caldeira Duarte,Midfielder,EFC,"£6,240,000"
Yerry Mina,Defender,EFC,"£6,240,000"
Naby Keita,Midfielder,LFC,"£6,240,000"
Alex Oxlade-Chamberlain,Midfielder,LFC,"£6,240,000"
Riyad Mahrez,Forward,MCFC,"£6,240,000"
Bernardo Silva,Forward,MCFC,"£6,240,000"
Frederico de Paula Santos,Midfielder,MUFC,"£6,240,000"
Victor Lindelof,Defender,MUFC,"£6,240,000"
Nemanja Matic,Midfielder,MUFC,"£6,240,000"
Ashley Young,Midfielder,MUFC,"£6,240,000"
Ander Herrera,Midfielder,MUFC,"£5,980,000"
Conor Townsend,Defender,WBAFC,"£5,980,000"
Andriy Yarmolenko,Forward,WHUFC,"£5,980,000"
Andre Gomes,Midfielder,EFC,"£5,800,000"
Hector Bellerin,Defender,AFC,"£5,720,000"
Petr Cech,Goalkeeper,AFC,"£5,720,000"
Jorge Luiz Frello Filho,Midfielder,CFC,"£5,720,000"
Anthony Martial,Forward,MUFC,"£5,720,000"
André Schurrle,Forward,FFC,"£5,408,000"
Jordan Pickford,Goalkeeper,EFC,"£5,208,333"
Sead Kolasinac,Defender,AFC,"£5,200,000"
Bernd Leno,Goalkeeper,AFC,"£5,200,000"
Granit Xhaka,Midfielder,AFC,"£5,200,000"
Marcos Alonso,Defender,CFC,"£5,200,000"
Gary Cahill,Defender,CFC,"£5,200,000"
Danny Drinkwater,Midfielder,CFC,"£5,200,000"
Antonio Rudiger,Defender,CFC,"£5,200,000"
Mamadou Sakho,Defender,CP,"£5,200,000"
Morgan Schneiderlin,Midfielder,EFC,"£5,200,000"
Gylfi Sigurdsson,Midfielder,EFC,"£5,200,000"
Dejan Lovren,Defender,LFC,"£5,200,000"
Sadio Mane,Forward,LFC,"£5,200,000"
Joel Matip,Defender,LFC,"£5,200,000"
Fabinho Tavares,Midfielder,LFC,"£5,200,000"
Eliaquim Mangala,Defender,MCFC,"£5,200,000"
John Stones,Defender,MCFC,"£5,200,000"
Kyle Walker,Defender,MCFC,"£5,200,000"
Dele Alli,Midfielder,THFC,"£5,200,000"
Hugo Lloris,Goalkeeper,THFC,"£5,200,000"
Marko Arnautovic,Midfielder,WHUFC,"£5,200,000"
Jack Wilshere,Midfielder,WHUFC,"£5,200,000"
Jose Moutinho,Midfielder,WWFC,"£5,200,000"
Rui Patricio,Goalkeeper,WWFC,"£5,200,000"
Sokratis Papastathopoulos,Defender,AFC,"£4,784,000"
Ross Barkley,Midfielder,CFC,"£4,766,667"
Laurent Koscielny,Defender,AFC,"£4,680,000"
Shkodran Mustafi,Defender,AFC,"£4,680,000"
Olivier Giroud,Forward,CFC,"£4,680,000"
Richarlison de Andrade,Forward,EFC,"£4,680,000"
Lucas Digne,Defender,EFC,"£4,680,000"
Harry Maguire,Defender,LC,"£4,680,000"
Alisson Becker,Goalkeeper,LFC,"£4,680,000"
Gabriel Jesus,Forward,MCFC,"£4,680,000"
Benjamin Mendy,Defender,MCFC,"£4,680,000"
Leroy Sane,Forward,MCFC,"£4,680,000"
Wilfried Bony,Forward,SCAFC,"£4,680,000"
Andy Carroll,Forward,WHUFC,"£4,680,000"
Jan Vertonghen,Defender,THFC,"£4,628,000"
Theo Walcott,Forward,EFC,"£4,550,000"
Antonio Valencia,Defender,MUFC,"£4,420,000"
Felipe Anderson,Midfielder,WHUFC,"£4,420,000"
Andreas Christensen,Defender,CFC,"£4,160,000"
Jonny Evans,Defender,LC,"£4,160,000"
Adrien Silva,Midfielder,LC,"£4,160,000"
Xherdan Shaqiri,Midfielder,LFC,"£4,160,000"
Fabian Delph,Midfielder,MCFC,"£4,160,000"
Claudio Bravo,Goalkeeper,MCFC,"£4,160,000"
Danilo Luiz da Silva,Defender,MCFC,"£4,160,000"
Eric Bailly,Defender,MUFC,"£4,160,000"
Marcos Rojo,Defender,MUFC,"£4,160,000"
Manolo Gabbiadini,Forward,SFC,"£4,160,000"
Saido Berahino,Forward,SCFC,"£4,160,000"
Erik Lamela,Midfielder,THFC,"£4,160,000"
Lucas Moura,Midfielder,THFC,"£4,160,000"
Moussa Sissoko,Midfielder,THFC,"£4,160,000"
Lucas Perez,Forward,WHUFC,"£4,160,000"
Stephan Lichtsteiner,Defender,AFC,"£3,900,000"
Lucas Torreira,Midfielder,AFC,"£3,900,000"
Mateo Kovacic,Midfielder,CFC,"£3,900,000"
Victor Moses,Defender,CFC,"£3,900,000"
Onyinye Ndidi,Midfielder,LC,"£3,900,000"
Danny Ings (on loan from ),Forward,LFC,"£3,900,000"
Georginio Wijnaldum,Midfielder,LFC,"£3,900,000"
Phil Jones,Defender,MUFC,"£3,900,000"
Jesse Lingard,Forward,MUFC,"£3,900,000"
Christian Eriksen,Midfielder,THFC,"£3,900,000"
Fernando Llorente,Forward,THFC,"£3,900,000"
Pablo Zabaleta,Defender,WHUFC,"£3,900,000"
Asmir Begovic,Goalkeeper,BOU,"£3,640,000"
Davide Zappacosta,Defender,CFC,"£3,640,000"
Leighton Baines,Defender,EFC,"£3,640,000"
Seamus Coleman,Defender,EFC,"£3,640,000"
Idrissa Gueye,Midfielder,EFC,"£3,640,000"
Ashley Williams (on loan from ),Defender,EFC,"£3,640,000"
Ricardo Pereira,Defender,LC,"£3,640,000"
Nathaniel Clyne (on loan from ),Defender,LFC,"£3,640,000"
Chris Smalling,Defender,MUFC,"£3,640,000"
Sergio Romero,Goalkeeper,MUFC,"£3,640,000"
Jonjo Shelvey,Midfielder,NUFC,"£3,640,000"
Charlie Austin,Forward,SFC,"£3,640,000"
Ryan Bertrand,Defender,SFC,"£3,640,000"
Fraser Forster,Goalkeeper,SFC,"£3,640,000"
Kevin Wimmer,Defender,SCFC,"£3,640,000"
Serge Aurier,Defender,THFC,"£3,640,000"
Abdoulaye Doucouré,Midfielder,WAT,"£3,640,000"
Andre Gray,Forward,WAT,"£3,640,000"
Michail Antonio,Midfielder,WHUFC,"£3,640,000"
Manuel Lanzini,Midfielder,WHUFC,"£3,640,000"
Angelo Ogbonna,Defender,WHUFC,"£3,640,000"
Winston Reid,Defender,WHUFC,"£3,640,000"
Emerson Palmieri,Defender,CFC,"£3,510,000"
Andre-Frank Zambo Anguissa,Midfielder,FFC,"£3,484,000"
Issa Diop,Defender,WHUFC,"£3,484,000"
Nacho Monreal,Defender,AFC,"£3,380,000"
Cheikhou Kouyate,Midfielder,CP,"£3,380,000"
Jean Michael Seri,Midfielder,FFC,"£3,380,000"
Ben Chilwell,Defender,LC,"£3,380,000"
Ederson Moraes,Goalkeeper,MCFC,"£3,380,000"
Mario Lemina,Midfielder,SFC,"£3,380,000"
Oriol Romeu,Midfielder,SFC,"£3,380,000"
Cedric Soares,Defender,SFC,"£3,380,000"
Eric Maxim Choupo-Moting,Midfielder,SCFC,"£3,380,000"
Davinson Sanchez,Defender,THFC,"£3,380,000"
Kieran Trippier,Defender,THFC,"£3,380,000"
Victor Wanyama,Midfielder,THFC,"£3,380,000"
Troy Deeney,Forward,WAT,"£3,380,000"
Lukasz Fabianski,Goalkeeper,WHUFC,"£3,380,000"
Shane Long,Forward,SFC,"£3,210,000"
Scott Dann,Defender,CP,"£3,120,000"
Vicente Guaita,Goalkeeper,CP,"£3,120,000"
Connor Wickham,Forward,CP,"£3,120,000"
Michael Keane,Defender,EFC,"£3,120,000"
Cenk Tosun,Forward,EFC,"£3,120,000"
Aleksandar Mitrovic,Forward,FFC,"£3,120,000"
Kelechi Iheanacho,Forward,LC,"£3,120,000"
Wes Morgan,Defender,LC,"£3,120,000"
Steven Davis,Midfielder,SFC,"£3,120,000"
Mohamed Elyounoussi,Forward,SFC,"£3,120,000"
Wesley Hoedt,Defender,SFC,"£3,120,000"
Nathan Redmond,Forward,SFC,"£3,120,000"
Jannik Vestergaard,Defender,SFC,"£3,120,000"
Bruno Martins Indi,Defender,SCFC,"£3,120,000"
Ben Davies,Defender,THFC,"£3,120,000"
Eric Dier,Midfielder,THFC,"£3,120,000"
Danny Rose,Defender,THFC,"£3,120,000"
Gerard Deulofeu,Forward,WAT,"£3,120,000"
Nacer Chadli,Midfielder,WBAFC,"£3,120,000"
Jay Rodriguez,Forward,WBAFC,"£3,120,000"
Jose Salomon Rondon (on loan from ),Forward,WBAFC,"£3,120,000"
Claudio Yacob,Midfielder,WBAFC,"£3,120,000"
Aymeric Laporte,Defender,MCFC,"£3,098,333"
Adam Lallana,Midfielder,LFC,"£3,042,000"
Pedro Rodríguez Ledesma,Midfielder,CFC,"£3,000,000"
Jeffrey Schlupp,Defender,CP,"£2,912,000"
Ben Mee,Defender,BFC,"£2,860,000"
James McArthur,Midfielder,CP,"£2,860,000"
Luka Milivojevic,Midfielder,CP,"£2,860,000"
Jairo Riedewald,Defender,CP,"£2,860,000"
Andros Townsend,Forward,CP,"£2,860,000"
Patrick Van Aanholt,Defender,CP,"£2,860,000"
Oumar Niasse,Forward,EFC,"£2,860,000"
Luciano Vietto,Forward,FFC,"£2,860,000"
Demarai Gray,Forward,LC,"£2,860,000"
Vicente Iborra,Midfielder,LC,"£2,860,000"
James Maddison,Midfielder,LC,"£2,860,000"
Simon Mignolet,Goalkeeper,LFC,"£2,860,000"
Darren Fletcher,Midfielder,SCFC,"£2,860,000"
Ryan Shawcross,Defender,SCFC,"£2,860,000"
Kieran Gibbs,Defender,WBAFC,"£2,860,000"
Pedro Obiang,Midfielder,WHUFC,"£2,860,000"
Yoshinori Muto,Forward,NUFC,"£2,808,000"
Jefferson Lerma,Midfielder,BOU,"£2,600,000"
Calum Chambers (on loan from ),Defender,AFC,"£2,600,000"
Mohamed Elneny,Midfielder,AFC,"£2,600,000"
Alex Iwobi,Forward,AFC,"£2,600,000"
Pascal Gross,Midfielder,BHA,"£2,600,000"
Alireza Jahanbakhsh,Forward,BHA,"£2,600,000"
Martin Montoya,Defender,BHA,"£2,600,000"
James Tarkowski,Defender,BFC,"£2,600,000"
Chris Wood,Forward,BFC,"£2,600,000"
James Tomkins,Defender,CP,"£2,600,000"
Phil Jagielka,Defender,EFC,"£2,600,000"
James McCarthy,Midfielder,EFC,"£2,600,000"
Aaron Mooy,Midfielder,HUD,"£2,600,000"
Christian Fuchs,Defender,LC,"£2,600,000"
Nampalys Mendy,Midfielder,LC,"£2,600,000"
Andrew Robertson,Defender,LFC,"£2,600,000"
Stuart Armstrong,Midfielder,SFC,"£2,600,000"
Pierre-Emile Hojbjerg,Midfielder,SFC,"£2,600,000"
Alex McCarthy,Goalkeeper,SFC,"£2,600,000"
Maya Yoshida,Defender,SFC,"£2,600,000"
Joe Allen,Midfielder,SCFC,"£2,600,000"
Giannelli Imbula,Midfielder,SCFC,"£2,600,000"
Harry Winks,Midfielder,THFC,"£2,600,000"
Tom Cleverley,Midfielder,WAT,"£2,600,000"
Aaron Cresswell,Defender,WHUFC,"£2,600,000"
Mark Noble,Midfielder,WHUFC,"£2,600,000"
Adrian San Miguel del Castillo,Goalkeeper,WHUFC,"£2,600,000"
Carlos Sanchez,Midfielder,WHUFC,"£2,600,000"
Ruben Neves,Midfielder,WWFC,"£2,600,000"
Jack Stephens,Defender,SFC,"£2,496,000"
Bojan Krkic,Midfielder,SCFC,"£2,496,000"
Jake Livermore,Midfielder,WBAFC,"£2,392,000"
Steve Cook,Defender,BOU,"£2,340,000"
Joshua King,Forward,BOU,"£2,340,000"
Carl Jenkinson,Defender,AFC,"£2,340,000"
Lewis Dunk,Defender,BHA,"£2,340,000"
Jose Izquierdo,Forward,BHA,"£2,340,000"
Davy Propper,Midfielder,BHA,"£2,340,000"
Steven Defour,Midfielder,BFC,"£2,340,000"
Joe Hart,Goalkeeper,BFC,"£2,340,000"
Fabricio Agosto Ramírez,Goalkeeper,FFC,"£2,340,000"
Sergio Rico,Goalkeeper,FFC,"£2,340,000"
Marc Albrighton,Midfielder,LC,"£2,340,000"
Richad Ghezzal,Midfielder,LC,"£2,340,000"
Danny Simpson,Defender,LC,"£2,340,000"
Caglar Soyuncu,Defender,LC,"£2,340,000"
Matteo Darmian,Defender,MUFC,"£2,340,000"
Mohamed Diame,Midfielder,NUFC,"£2,340,000"
Ayoze Perez,Forward,NUFC,"£2,340,000"
Matt Ritchie,Midfielder,NUFC,"£2,340,000"
Daryl Janmaat,Defender,WAT,"£2,340,000"
Roberto Pereyra,Midfielder,WAT,"£2,340,000"
Sebastian Prodl,Defender,WAT,"£2,340,000"
Chris Brunt,Midfielder,WBAFC,"£2,340,000"
Diogo Jota,Forward,WWFC,"£2,340,000"
James Ward-Prowse,Midfielder,SFC,"£2,253,333"
Federico Fernandez,Defender,NUFC,"£2,236,000"
Adama Traore,Midfielder,WWFC,"£2,236,000"
Tom Heaton,Goalkeeper,BFC,"£2,200,000"
Raul Jimenez,Forward,WWFC,"£2,132,000"
Jurgen Locadia,Forward,BHA,"£2,106,000"
Nathan Ake,Defender,BOU,"£2,080,000"
Matteo Guendouzi,Midfielder,AFC,"£2,080,000"
Henri Lansbury,Midfielder,AVFC,"£2,080,000"
Florin Andone,Forward,BHA,"£2,080,000"
Shane Duffy,Defender,BHA,"£2,080,000"
Ashley Barnes,Forward,BFC,"£2,080,000"
Ben Gibson,Defender,BFC,"£2,080,000"
Willy Caballero,Goalkeeper,CFC,"£2,080,000"
Kurt Zouma (on loan from ),Defender,CFC,"£2,080,000"
Wayne Hennessey,Goalkeeper,CP,"£2,080,000"
Tom Cairney,Midfielder,FFC,"£2,080,000"
Yohan Benalouane,Defender,LC,"£2,080,000"
Andy King,Midfielder,LC,"£2,080,000"
Alberto Moreno,Defender,LFC,"£2,080,000"
Joselu Mato,Forward,NUFC,"£2,080,000"
Fabian Schar,Defender,NUFC,"£2,080,000"
Ki Sung-yueng,Midfielder,NUFC,"£2,080,000"
Sam Gallagher,Forward,SFC,"£2,080,000"
Angus Gunn,Goalkeeper,SFC,"£2,080,000"
Peter Crouch,Forward,SCFC,"£2,080,000"
Michel Vorm,Goalkeeper,THFC,"£2,080,000"
Étienne Capoue,Midfielder,WAT,"£2,080,000"
Craig Dawson,Defender,WBAFC,"£2,080,000"
Matt Phillips,Midfielder,WBAFC,"£2,080,000"
Fabian Balbuena,Defender,WHUFC,"£2,080,000"
Ryan Fredericks,Midfielder,WHUFC,"£2,080,000"
Arthur Masuaku,Defender,WHUFC,"£2,080,000"
Robert Snodgrass,Midfielder,WHUFC,"£2,080,000"
Jack Cork,Midfielder,BFC,"£1,976,000"
Philippe Sandler,Defender,MCFC,"£1,976,000"
Martin Dubravka,Goalkeeper,NUFC,"£1,976,000"
Florian Lejeune,Defender,NUFC,"£1,976,000"
Erik Pieters,Defender,SCFC,"£1,976,000"
Leander Dendoncker,Midfielder,WWFC,"£1,972,000"
Jonny Castro,Defender,WWFC,"£1,907,000"
Ainsley Maitland-Niles,Midfielder,AFC,"£1,820,000"
Jonathan Kodjia,Forward,AVFC,"£1,820,000"
Anthony Knockaert,Forward,BHA,"£1,820,000"
Mathew Ryan,Goalkeeper,BHA,"£1,820,000"
Robbie Brady,Midfielder,BFC,"£1,820,000"
Jeff Hendrick,Midfielder,BFC,"£1,820,000"
Aaron Lennon,Forward,BFC,"£1,820,000"
Nick Pope,Goalkeeper,BFC,"£1,820,000"
Matej Vydra,Forward,BFC,"£1,820,000"
Ruben Loftus-Cheek,Midfielder,CFC,"£1,820,000"
Jason Puncheon,Midfielder,CP,"£1,820,000"
Joel Ward,Defender,CP,"£1,820,000"
Marcus Bettinelli,Goalkeeper,FFC,"£1,820,000"
Laurent Depoitre,Forward,HUD,"£1,820,000"
Erik Durm,Defender,HUD,"£1,820,000"
Terence Kongolo,Defender,HUD,"£1,820,000"
Steve Mounie,Forward,HUD,"£1,820,000"
Patrick Bamford,Forward,LUFC,"£1,820,000"
Shinji Okazaki,Forward,LC,"£1,820,000"
Lazar Markovic,Forward,LFC,"£1,820,000"
Ciaran Clark,Defender,NUFC,"£1,820,000"
Paul Dummett,Defender,NUFC,"£1,820,000"
Javier Manquillo,Defender,NUFC,"£1,820,000"
Matt Targett,Defender,SFC,"£1,820,000"
Jack Butland,Goalkeeper,SCFC,"£1,820,000"
Nathaniel Chalobah,Midfielder,WAT,"£1,820,000"
Heurelho Gomes,Goalkeeper,WAT,"£1,820,000"
Younes Kaboul,Defender,WAT,"£1,820,000"
Stefano Okaka,Forward,WAT,"£1,820,000"
Allan-Romeo Nyom,Defender,WBAFC,"£1,820,000"
Leo Bonatini,Forward,WWFC,"£1,820,000"
John Ruddy,Goalkeeper,WWFC,"£1,820,000"
Jamaal Lascelles,Defender,NUFC,"£1,782,857"
Vincent Janssen,Forward,THFC,"£1,768,000"
Mathias Jorgensen,Defender,HUD,"£1,716,000"
Marc Muniesa,Defender,SCFC,"£1,716,000"
Marcus Rashford,Forward,MUFC,"£1,690,000"
Sam Johnstone,Goalkeeper,WBAFC,"£1,690,000"
Helder Costa,Forward,WWFC,"£1,690,000"
Kiko Casilla,Goalkeeper,LUFC,"£1,670,000"
Ezequiel Schelotto,Defender,BHA,"£1,664,000"
Alfie Mawson,Defender,FFC,"£1,664,000"
Ashley Westwood,Midfielder,BFC,"£1,612,000"
Yuning Zhang,Forward,WBAFC,"£1,612,000"
James Chester,Defender,AVFC,"£1,560,000"
Solly March,Midfielder,BHA,"£1,560,000"
Glenn Murray,Forward,BHA,"£1,560,000"
Dale Stephens,Midfielder,BHA,"£1,560,000"
Johann Berg Gudmundsson,Midfielder,BFC,"£1,560,000"
Bobby Reid,Forward,CCFC,"£1,560,000"
Alex Smithies,Goalkeeper,CCFC,"£1,560,000"
Pape Souare,Defender,CP,"£1,560,000"
Maarten Stekelenburg,Goalkeeper,EFC,"£1,560,000"
Joe Bryan,Defender,FFC,"£1,560,000"
Adama Diakhaby,Forward,HUD,"£1,560,000"
Alex Pritchard,Midfielder,HUD,"£1,560,000"
Daniel Williams,Midfielder,HUD,"£1,560,000"
Joe Gomez,Defender,LFC,"£1,560,000"
Tosin Adarabioyo (on loan from ),Defender,MCFC,"£1,560,000"
Lee Grant,Goalkeeper,MUFC,"£1,560,000"
Andreas Pereira,Midfielder,MUFC,"£1,560,000"
Christian Atsu,Forward,NUFC,"£1,560,000"
Deandre Yedlin,Defender,NUFC,"£1,560,000"
Geoff Cameron,Defender,SCFC,"£1,560,000"
Ben Foster,Goalkeeper,WAT,"£1,560,000"
Jose Holebas,Defender,WAT,"£1,560,000"
Will Hughes,Midfielder,WAT,"£1,560,000"
Christian Kabasele,Defender,WAT,"£1,560,000"
Isaac Success,Forward,WAT,"£1,560,000"
Oliver Burke,Forward,WBAFC,"£1,560,000"
Hal Robson-Kanu,Forward,WBAFC,"£1,560,000"
Sam Byram (on loan from ),Defender,WHUFC,"£1,560,000"
Ruben Vinagre,Defender,WWFC,"£1,560,000"
Stephen Ward,Defender,BFC,"£1,456,000"
Junior Hoilett,Forward,CCFC,"£1,456,000"
Divock Origi,Forward,LFC,"£1,456,000"
Adam Masina,Defender,WAT,"£1,456,000"
Marco van Ginkel,Midfielder,CFC,"£1,450,000"
Ivan Cavaleiro,Forward,WWFC,"£1,450,000"
Tim Ream,Defender,FFC,"£1,404,000"
Ramadan Sobhi,Forward,HUD,"£1,404,000"
Ahmed Hegazy,Defender,WBAFC,"£1,378,000"
Rob Holding,Defender,AFC,"£1,300,000"
Ahmed Elmohamady,Midfielder,AVFC,"£1,300,000"
Yves Bissouma,Midfielder,BHA,"£1,300,000"
Bernardo Fernandes da Silva Junior,Midfielder,BHA,"£1,300,000"
Beram Kayal,Midfielder,BHA,"£1,300,000"
Phil Bardsley,Defender,BFC,"£1,300,000"
Matthew Lowton,Defender,BFC,"£1,300,000"
Charlie Taylor,Defender,BFC,"£1,300,000"
Sean Morrison,Defender,CCFC,"£1,300,000"
Josh Murphy,Forward,CCFC,"£1,300,000"
Isaiah Brown,Forward,CFC,"£1,300,000"
Robert Green,Goalkeeper,CFC,"£1,300,000"
Robert Kenedy (on loan from ),Midfielder,CFC,"£1,300,000"
Martin Kelly,Defender,CP,"£1,300,000"
Julian Speroni,Goalkeeper,CP,"£1,300,000"
Tom Davies,Midfielder,EFC,"£1,300,000"
Mason Holgate,Defender,EFC,"£1,300,000"
